resource_id,event_id,event_time,phase_hint,onset,polarity,time,network,station,location,channel,agency_id,author,backazimuth,creation_time,evaluation_mode,evaluation_status,filter_id,horizontal_slowness,method_id,seed_id
smi:local/ca50f6c3-cc80-4840-9830-b7703a570e2e,smi:local/f21a1ec8-719f-423c-8fed-0202703d950c,2007-12-05T19:16:32.000000Z,P,None,None,1196882200.07,TA,M17A,,,None,None,,,None,None,None,,None,TA.M17A..
smi:local/8819bde1-7d1a-4d50-b8b4-49d142b994b9,smi:local/c7f9488a-60ab-4a8e-a31b-d7a636302e01,2007-12-19T17:56:18.000000Z,P,None,None,1198086984.5,TA,M17A,,,None,None,,,None,None,None,,None,TA.M17A..
smi:local/13db8c43-7430-4a50-b244-8b8f7fe4670b,smi:local/c7f9488a-60ab-4a8e-a31b-d7a636302e01,2007-12-19T17:56:18.000000Z,P,None,None,1198086989.22,TA,M18A,,,None,None,,,None,None,None,,None,TA.M18A..
smi:local/17ca6a68-dc0b-4290-9402-129b5b2c9114,smi:local/210665eb-9328-4054-af4f-51c79c4cb2f6,2007-12-21T18:30:09.000000Z,P,None,None,1198261814.71,TA,M17A,,,None,None,,,None,None,None,,None,TA.M17A..
smi:local/0309de2c-2045-44cc-8f74-06ac0ce2ec83,smi:local/210665eb-9328-4054-af4f-51c79c4cb2f6,2007-12-21T18:30:09.000000Z,P,None,None,1198261818.64,TA,M18A,,,None,None,,,None,None,None,,None,TA.M18A..
smi:local/e5c49029-4007-48a5-bcd8-9b37643a82a9,smi:local/7e9660d0-00e2-4886-8cf9-52f6f735f795,2007-12-28T20:00:14.000000Z,P,None,None,1198872020.03,TA,M17A,,,None,None,,,None,None,None,,None,TA.M17A..
smi:local/d741fb57-8f4b-43dd-8625-6ff225f5c7df,smi:local/7e9660d0-00e2-4886-8cf9-52f6f735f795,2007-12-28T20:00:14.000000Z,P,None,None,1198872025.04,TA,M18A,,,None,None,,,None,None,None,,None,TA.M18A..
smi:local/6209cf6c-d1ad-499f-abe3-d556b1a440ea,smi:local/11d7e9f2-1336-4c6b-8c47-e16cc180a1f2,2008-01-08T18:48:09.000000Z,P,None,None,1199818093.93,TA,M17A,,,None,None,,,None,None,None,,None,TA.M17A..
smi:local/05574c6d-dc52-4b53-b7d0-534b1df447bb,smi:local/11d7e9f2-1336-4c6b-8c47-e16cc180a1f2,2008-01-08T18:48:09.000000Z,P,None,None,1199818104.93,TA,M18A,,,None,None,,,None,None,None,,None,TA.M18A..
smi:local/f6dba353-3f9e-43a7-aa8e-f21bc39f19e4,smi:local/15c6c7a4-ecef-425e-b07f-1f2ec8dbb1e4,2008-01-14T18:02:55.000000Z,P,None,None,1200333783.07,TA,M17A,,,None,None,,,None,None,None,,None,TA.M17A..
smi:local/1bb40fbe-96a2-4c95-8ab5-29b83250729b,smi:local/15c6c7a4-ecef-425e-b07f-1f2ec8dbb1e4,2008-01-14T18:02:55.000000Z,P,None,None,1200333785.43,TA,M18A,,,None,None,,,None,None,None,,None,TA.M18A..
smi:local/39cb5411-f902-40d8-ba32-9fba7b60854d,smi:local/e5f18c6a-438c-4427-ab06-8ea64638281e,2008-01-21T20:01:06.000000Z,P,None,None,1200945671.71,TA,M17A,,,None,None,,,None,None,None,,None,TA.M17A..
smi:local/88c19422-e699-4d32-8008-f6753ca754ec,smi:local/e5f18c6a-438c-4427-ab06-8ea64638281e,2008-01-21T20:01:06.000000Z,P,None,None,1200945678.0,TA,M18A,,,None,None,,,None,None,None,,None,TA.M18A..
smi:local/b4803d15-c385-4194-a6f5-fdf0c3288309,smi:local/ce643cc2-ecaf-4305-916d-7d4362a47194,2008-01-22T19:24:54.000000Z,P,None,None,1201029899.71,TA,M17A,,,None,None,,,None,None,None,,None,TA.M17A..
smi:local/de221187-cb95-42a3-ac5d-d3c8032941d4,smi:local/ce643cc2-ecaf-4305-916d-7d4362a47194,2008-01-22T19:24:54.000000Z,P,None,None,1201029906.79,TA,M18A,,,None,None,,,None,None,None,,None,TA.M18A..
smi:local/63abd560-1524-463f-ae83-bf5943f7ec13,smi:local/0dab2c73-505d-41fd-8122-40690f02b651,2008-02-15T20:00:08.000000Z,P,None,None,1203105612.93,TA,M17A,,,None,None,,,None,None,None,,None,TA.M17A..
smi:local/774b5a8d-0368-4236-8905-d8276dabc04b,smi:local/0dab2c73-505d-41fd-8122-40690f02b651,2008-02-15T20:00:08.000000Z,P,None,None,1203105620.0,TA,M18A,,,None,None,,,None,None,None,,None,TA.M18A..
smi:local/5a70dbec-f84b-4bb1-825c-dbc3f49ed39d,smi:local/c11e71d5-d1d4-4a29-a245-ee54a41fdd89,2008-02-15T20:05:25.000000Z,P,None,None,1203105929.14,TA,M17A,,,None,None,,,None,None,None,,None,TA.M17A..
smi:local/f06a869f-7959-4228-a4a9-3d8dbba5e5d4,smi:local/c11e71d5-d1d4-4a29-a245-ee54a41fdd89,2008-02-15T20:05:25.000000Z,P,None,None,1203105943.29,TA,M18A,,,None,None,,,None,None,None,,None,TA.M18A..
smi:local/ed4b5268-fc89-4e60-9a43-cd345bc80ffa,smi:local/09d7ec30-f650-44a5-8362-e27c47eeb24a,2008-02-18T19:04:15.000000Z,P,None,None,1203361460.71,TA,M17A,,,None,None,,,None,None,None,,None,TA.M17A..
smi:local/17db88cc-c66d-46a9-a43e-40b4623744ec,smi:local/09d7ec30-f650-44a5-8362-e27c47eeb24a,2008-02-18T19:04:15.000000Z,P,None,None,1203361466.22,TA,M18A,,,None,None,,,None,None,None,,None,TA.M18A..
smi:local/4df3915b-4231-4bc3-8899-ca4439a6fed5,smi:local/0177dcd1-a3c0-4210-abfc-d3e9034443b7,2008-02-21T17:41:33.000000Z,P,None,None,1203615698.71,TA,M17A,,,None,None,,,None,None,None,,None,TA.M17A..
smi:local/ef862cd5-7dc7-4cc0-8a19-2318506ee824,smi:local/0177dcd1-a3c0-4210-abfc-d3e9034443b7,2008-02-21T17:41:33.000000Z,P,None,None,1203615704.22,TA,M18A,,,None,None,,,None,None,None,,None,TA.M18A..
smi:local/0ae21017-27c1-45cf-bd16-ebb7345d541e,smi:local/eb0f3012-d099-4037-a57c-aef49b26e974,2008-02-25T20:26:24.000000Z,P,None,None,1203971188.14,TA,M17A,,,None,None,,,None,None,None,,None,TA.M17A..
smi:local/aebd00b9-7063-4b01-b3f9-be6b86a2fd1d,smi:local/eb0f3012-d099-4037-a57c-aef49b26e974,2008-02-25T20:26:24.000000Z,P,None,None,1203971193.64,TA,M18A,,,None,None,,,None,None,None,,None,TA.M18A..
